,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
931,0 days 00:34:28.942000,14,,1.0,0 days 00:00:04.827000,,,0 days 00:00:40.768000,0 days 00:00:22.291000,,0 days 00:34:06.669000,0 days 00:34:29.077000,154.0,175.0,256.0,278.0,False,MEDIUM,1.0,True,1,0 days 00:32:54.677000,Alpine,ALO,1,False,2021-05-23 13:02:55.440
932,0 days 00:35:50.440000,14,0 days 00:01:21.498000,2.0,,,0 days 00:00:21.806000,0 days 00:00:38.050000,0 days 00:00:21.642000,0 days 00:34:50.748000,0 days 00:35:28.798000,0 days 00:35:50.440000,183.0,177.0,257.0,283.0,False,MEDIUM,2.0,True,1,0 days 00:34:28.942000,Alpine,ALO,1,True,2021-05-23 13:04:29.705
933,0 days 00:37:10.988000,14,0 days 00:01:20.548000,3.0,,,0 days 00:00:21.314000,0 days 00:00:37.404000,0 days 00:00:21.830000,0 days 00:36:11.754000,0 days 00:36:49.158000,0 days 00:37:10.988000,186.0,178.0,255.0,281.0,False,MEDIUM,3.0,True,1,0 days 00:35:50.440000,Alpine,ALO,1,True,2021-05-23 13:05:51.203
934,0 days 00:38:31.109000,14,0 days 00:01:20.121000,4.0,,,0 days 00:00:21.429000,0 days 00:00:37.291000,0 days 00:00:21.401000,0 days 00:37:32.417000,0 days 00:38:09.708000,0 days 00:38:31.109000,180.0,182.0,253.0,280.0,False,MEDIUM,4.0,True,1,0 days 00:37:10.988000,Alpine,ALO,1,True,2021-05-23 13:07:11.751
935,0 days 00:39:50.866000,14,0 days 00:01:19.757000,5.0,,,0 days 00:00:21.233000,0 days 00:00:37.040000,0 days 00:00:21.484000,0 days 00:38:52.342000,0 days 00:39:29.382000,0 days 00:39:50.866000,191.0,180.0,254.0,280.0,False,MEDIUM,5.0,True,1,0 days 00:38:31.109000,Alpine,ALO,1,True,2021-05-23 13:08:31.872
936,0 days 00:41:09.691000,14,0 days 00:01:18.825000,6.0,,,0 days 00:00:20.940000,0 days 00:00:36.657000,0 days 00:00:21.228000,0 days 00:40:11.806000,0 days 00:40:48.463000,0 days 00:41:09.691000,189.0,183.0,254.0,280.0,False,MEDIUM,6.0,True,1,0 days 00:39:50.866000,Alpine,ALO,1,True,2021-05-23 13:09:51.629
937,0 days 00:42:28.429000,14,0 days 00:01:18.738000,7.0,,,0 days 00:00:20.857000,0 days 00:00:36.767000,0 days 00:00:21.114000,0 days 00:41:30.548000,0 days 00:42:07.315000,0 days 00:42:28.429000,191.0,184.0,253.0,279.0,False,MEDIUM,7.0,True,1,0 days 00:41:09.691000,Alpine,ALO,1,True,2021-05-23 13:11:10.454
938,0 days 00:43:46.683000,14,0 days 00:01:18.254000,8.0,,,0 days 00:00:20.895000,0 days 00:00:36.403000,0 days 00:00:20.956000,0 days 00:42:49.324000,0 days 00:43:25.727000,0 days 00:43:46.683000,195.0,186.0,252.0,279.0,False,MEDIUM,8.0,True,1,0 days 00:42:28.429000,Alpine,ALO,1,True,2021-05-23 13:12:29.192
939,0 days 00:45:05.587000,14,0 days 00:01:18.904000,9.0,,,0 days 00:00:21.087000,0 days 00:00:36.696000,0 days 00:00:21.121000,0 days 00:44:07.770000,0 days 00:44:44.466000,0 days 00:45:05.587000,186.0,185.0,254.0,279.0,False,MEDIUM,9.0,True,1,0 days 00:43:46.683000,Alpine,ALO,1,True,2021-05-23 13:13:47.446
940,0 days 00:46:23.734000,14,0 days 00:01:18.147000,10.0,,,0 days 00:00:20.623000,0 days 00:00:36.424000,0 days 00:00:21.100000,0 days 00:45:26.210000,0 days 00:46:02.634000,0 days 00:46:23.734000,192.0,185.0,255.0,279.0,False,MEDIUM,10.0,True,1,0 days 00:45:05.587000,Alpine,ALO,1,True,2021-05-23 13:15:06.350
941,0 days 00:47:42.512000,14,0 days 00:01:18.778000,11.0,,,0 days 00:00:20.896000,0 days 00:00:36.597000,0 days 00:00:21.285000,0 days 00:46:44.630000,0 days 00:47:21.227000,0 days 00:47:42.512000,194.0,185.0,254.0,280.0,False,MEDIUM,11.0,True,1,0 days 00:46:23.734000,Alpine,ALO,1,True,2021-05-23 13:16:24.497
942,0 days 00:49:00.926000,14,0 days 00:01:18.414000,12.0,,,0 days 00:00:20.891000,0 days 00:00:36.529000,0 days 00:00:20.994000,0 days 00:48:03.403000,0 days 00:48:39.932000,0 days 00:49:00.926000,198.0,186.0,254.0,278.0,False,MEDIUM,12.0,True,1,0 days 00:47:42.512000,Alpine,ALO,1,True,2021-05-23 13:17:43.275
943,0 days 00:50:18.733000,14,0 days 00:01:17.807000,13.0,,,0 days 00:00:20.558000,0 days 00:00:36.307000,0 days 00:00:20.942000,0 days 00:49:21.484000,0 days 00:49:57.791000,0 days 00:50:18.733000,,185.0,254.0,278.0,False,MEDIUM,13.0,True,1,0 days 00:49:00.926000,Alpine,ALO,1,True,2021-05-23 13:19:01.689
944,0 days 00:51:36.262000,14,0 days 00:01:17.529000,14.0,,,0 days 00:00:20.512000,0 days 00:00:36.080000,0 days 00:00:20.937000,0 days 00:50:39.245000,0 days 00:51:15.325000,0 days 00:51:36.262000,197.0,187.0,253.0,277.0,False,MEDIUM,14.0,True,1,0 days 00:50:18.733000,Alpine,ALO,1,True,2021-05-23 13:20:19.496
945,0 days 00:52:54.065000,14,0 days 00:01:17.803000,15.0,,,0 days 00:00:20.594000,0 days 00:00:36.372000,0 days 00:00:20.837000,0 days 00:51:56.856000,0 days 00:52:33.228000,0 days 00:52:54.065000,,188.0,253.0,278.0,False,MEDIUM,15.0,True,1,0 days 00:51:36.262000,Alpine,ALO,1,True,2021-05-23 13:21:37.025
946,0 days 00:54:11.905000,14,0 days 00:01:17.840000,16.0,,,0 days 00:00:20.698000,0 days 00:00:36.217000,0 days 00:00:20.925000,0 days 00:53:14.763000,0 days 00:53:50.980000,0 days 00:54:11.905000,199.0,190.0,254.0,277.0,False,MEDIUM,16.0,True,1,0 days 00:52:54.065000,Alpine,ALO,1,True,2021-05-23 13:22:54.828
947,0 days 00:55:29.319000,14,0 days 00:01:17.414000,17.0,,,0 days 00:00:20.562000,0 days 00:00:35.992000,0 days 00:00:20.860000,0 days 00:54:32.467000,0 days 00:55:08.459000,0 days 00:55:29.319000,200.0,190.0,254.0,277.0,False,MEDIUM,17.0,True,1,0 days 00:54:11.905000,Alpine,ALO,1,True,2021-05-23 13:24:12.668
948,0 days 00:56:46.955000,14,0 days 00:01:17.636000,18.0,,,0 days 00:00:20.578000,0 days 00:00:36.156000,0 days 00:00:20.902000,0 days 00:55:49.897000,0 days 00:56:26.053000,0 days 00:56:46.955000,201.0,191.0,253.0,276.0,False,MEDIUM,18.0,True,1,0 days 00:55:29.319000,Alpine,ALO,1,True,2021-05-23 13:25:30.082
