,Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
0,2021-05-23 14:05:54.437,11457,259,6,100,False,0,car,0 days 00:00:00.122000,0 days 01:35:53.674000,8.777222222222221
1,2021-05-23 14:05:54.677,11543,263,6,100,False,0,car,0 days 00:00:00.362000,0 days 01:35:53.914000,26.31055555555556
2,2021-05-23 14:05:54.957,11263,266,6,100,False,0,car,0 days 00:00:00.642000,0 days 01:35:54.194000,46.99944444444445
3,2021-05-23 14:05:55.197,10091,267,7,100,False,0,car,0 days 00:00:00.882000,0 days 01:35:54.434000,64.79944444444445
4,2021-05-23 14:05:55.437,10337,268,7,100,True,0,car,0 days 00:00:01.122000,0 days 01:35:54.674000,82.66611111111112
5,2021-05-23 14:05:55.677,9469,250,7,0,True,0,car,0 days 00:00:01.362000,0 days 01:35:54.914000,99.33277777777778
6,2021-05-23 14:05:55.917,9419,240,7,0,True,0,car,0 days 00:00:01.602000,0 days 01:35:55.154000,115.33277777777778
7,2021-05-23 14:05:56.157,9513,201,7,0,True,0,car,0 days 00:00:01.842000,0 days 01:35:55.394000,128.73277777777778
8,2021-05-23 14:05:56.397,9010,181,6,0,True,0,car,0 days 00:00:02.082000,0 days 01:35:55.634000,140.79944444444448
9,2021-05-23 14:05:56.637,9614,158,5,0,True,0,car,0 days 00:00:02.322000,0 days 01:35:55.874000,151.3327777777778
10,2021-05-23 14:05:56.877,9566,145,4,0,True,0,car,0 days 00:00:02.562000,0 days 01:35:56.114000,160.9994444444445
11,2021-05-23 14:05:57.117,9145,132,3,0,True,0,car,0 days 00:00:02.802000,0 days 01:35:56.354000,169.79944444444448
12,2021-05-23 14:05:57.357,8252,123,3,0,True,0,car,0 days 00:00:03.042000,0 days 01:35:56.594000,177.9994444444445
13,2021-05-23 14:05:57.597,7956,115,3,0,True,0,car,0 days 00:00:03.282000,0 days 01:35:56.834000,185.66611111111115
14,2021-05-23 14:05:57.837,7630,110,3,2,False,0,car,0 days 00:00:03.522000,0 days 01:35:57.074000,192.9994444444445
15,2021-05-23 14:05:58.077,7540,109,3,7,False,0,car,0 days 00:00:03.762000,0 days 01:35:57.314000,200.26611111111117
16,2021-05-23 14:05:58.317,7589,105,3,30,False,0,car,0 days 00:00:04.002000,0 days 01:35:57.554000,207.26611111111117
17,2021-05-23 14:05:58.557,7818,108,3,59,False,0,car,0 days 00:00:04.242000,0 days 01:35:57.794000,214.46611111111116
18,2021-05-23 14:05:58.796,8547,114,3,74,False,0,car,0 days 00:00:04.481000,0 days 01:35:58.033000,222.0344444444445
19,2021-05-23 14:05:59.036,8881,124,3,87,False,0,car,0 days 00:00:04.721000,0 days 01:35:58.273000,230.30111111111117
20,2021-05-23 14:05:59.276,9460,134,3,91,False,0,car,0 days 00:00:04.961000,0 days 01:35:58.513000,239.2344444444445
21,2021-05-23 14:05:59.516,10573,144,3,100,False,0,car,0 days 00:00:05.201000,0 days 01:35:58.753000,248.8344444444445
22,2021-05-23 14:05:59.756,11558,159,3,100,False,0,car,0 days 00:00:05.441000,0 days 01:35:58.993000,259.4344444444445
23,2021-05-23 14:05:59.996,11323,159,3,100,False,0,car,0 days 00:00:05.681000,0 days 01:35:59.233000,270.0344444444445
24,2021-05-23 14:06:00.236,10573,175,4,100,False,0,car,0 days 00:00:05.921000,0 days 01:35:59.473000,281.7011111111112
25,2021-05-23 14:06:00.476,11356,188,4,100,False,0,car,0 days 00:00:06.161000,0 days 01:35:59.713000,294.23444444444453
26,2021-05-23 14:06:00.716,11665,193,4,100,False,0,car,0 days 00:00:06.401000,0 days 01:35:59.953000,307.1011111111112
27,2021-05-23 14:06:00.956,11665,203,4,100,False,0,car,0 days 00:00:06.641000,0 days 01:36:00.193000,320.6344444444445
28,2021-05-23 14:06:01.157,10685,208,5,100,False,0,car,0 days 00:00:06.842000,0 days 01:36:00.394000,332.24777777777786
29,2021-05-23 14:06:01.397,10794,213,5,100,False,0,car,0 days 00:00:07.082000,0 days 01:36:00.634000,346.44777777777784
30,2021-05-23 14:06:01.637,11281,220,5,100,False,0,car,0 days 00:00:07.322000,0 days 01:36:00.874000,361.1144444444445
31,2021-05-23 14:06:01.877,11512,223,5,100,False,0,car,0 days 00:00:07.562000,0 days 01:36:01.114000,375.98111111111115
32,2021-05-23 14:06:02.117,11714,229,5,100,False,0,car,0 days 00:00:07.802000,0 days 01:36:01.354000,391.24777777777786
33,2021-05-23 14:06:02.357,11978,234,5,100,False,0,car,0 days 00:00:08.042000,0 days 01:36:01.594000,406.8477777777778
34,2021-05-23 14:06:02.597,10718,236,5,100,False,0,car,0 days 00:00:08.282000,0 days 01:36:01.834000,422.58111111111117
35,2021-05-23 14:06:02.837,10660,242,6,100,False,0,car,0 days 00:00:08.522000,0 days 01:36:02.074000,438.7144444444445
36,2021-05-23 14:06:03.077,10796,246,6,100,False,0,car,0 days 00:00:08.762000,0 days 01:36:02.314000,455.11444444444453
37,2021-05-23 14:06:03.317,10913,246,6,100,False,0,car,0 days 00:00:09.002000,0 days 01:36:02.554000,471.51444444444456
38,2021-05-23 14:06:03.557,11095,252,6,100,False,0,car,0 days 00:00:09.242000,0 days 01:36:02.794000,488.3144444444446
39,2021-05-23 14:06:03.797,11193,254,6,100,False,0,car,0 days 00:00:09.482000,0 days 01:36:03.034000,505.2477777777779
40,2021-05-23 14:06:04.037,11276,256,6,100,False,0,car,0 days 00:00:09.722000,0 days 01:36:03.274000,522.3144444444446
41,2021-05-23 14:06:04.277,11362,259,6,100,False,0,car,0 days 00:00:09.962000,0 days 01:36:03.514000,539.5811111111111
42,2021-05-23 14:06:04.517,11437,261,6,100,False,0,car,0 days 00:00:10.202000,0 days 01:36:03.754000,556.9811111111111
43,2021-05-23 14:06:04.757,11516,262,6,100,False,0,car,0 days 00:00:10.442000,0 days 01:36:03.994000,574.4477777777778
44,2021-05-23 14:06:04.997,11513,262,6,100,False,0,car,0 days 00:00:10.682000,0 days 01:36:04.234000,591.9144444444445
45,2021-05-23 14:06:05.237,10995,259,6,0,True,0,car,0 days 00:00:10.922000,0 days 01:36:04.474000,609.1811111111111
46,2021-05-23 14:06:05.476,10531,245,6,0,True,0,car,0 days 00:00:11.161000,0 days 01:36:04.713000,625.4463888888889
47,2021-05-23 14:06:05.716,9946,231,6,0,True,0,car,0 days 00:00:11.401000,0 days 01:36:04.953000,640.8463888888889
48,2021-05-23 14:06:05.956,10678,219,6,0,True,0,car,0 days 00:00:11.641000,0 days 01:36:05.193000,655.4463888888888
49,2021-05-23 14:06:06.196,10432,203,5,0,True,0,car,0 days 00:00:11.881000,0 days 01:36:05.433000,668.9797222222221
50,2021-05-23 14:06:06.436,10517,190,5,0,True,0,car,0 days 00:00:12.121000,0 days 01:36:05.673000,681.6463888888887
51,2021-05-23 14:06:06.676,10639,185,4,0,True,0,car,0 days 00:00:12.361000,0 days 01:36:05.913000,693.9797222222221
52,2021-05-23 14:06:06.916,10289,175,4,0,True,0,car,0 days 00:00:12.601000,0 days 01:36:06.153000,705.6463888888887
53,2021-05-23 14:06:07.156,9886,169,4,0,False,0,car,0 days 00:00:12.841000,0 days 01:36:06.393000,716.9130555555554
54,2021-05-23 14:06:07.396,9608,165,4,0,False,0,car,0 days 00:00:13.081000,0 days 01:36:06.633000,727.9130555555554
55,2021-05-23 14:06:07.597,9435,161,4,3,False,0,car,0 days 00:00:13.282000,0 days 01:36:06.834000,736.902222222222
56,2021-05-23 14:06:07.837,9302,156,4,14,False,0,car,0 days 00:00:13.522000,0 days 01:36:07.074000,747.302222222222
57,2021-05-23 14:06:08.077,9090,153,4,35,False,0,car,0 days 00:00:13.762000,0 days 01:36:07.314000,757.502222222222
58,2021-05-23 14:06:08.317,9136,151,4,48,False,0,car,0 days 00:00:14.002000,0 days 01:36:07.554000,767.5688888888888
59,2021-05-23 14:06:08.557,9199,153,4,57,False,0,car,0 days 00:00:14.242000,0 days 01:36:07.794000,777.7688888888888
60,2021-05-23 14:06:08.797,9265,154,4,56,False,0,car,0 days 00:00:14.482000,0 days 01:36:08.034000,788.0355555555554
61,2021-05-23 14:06:09.037,9295,156,4,55,False,0,car,0 days 00:00:14.722000,0 days 01:36:08.274000,798.4355555555554
62,2021-05-23 14:06:09.277,9435,156,4,47,False,0,car,0 days 00:00:14.962000,0 days 01:36:08.514000,808.8355555555554
63,2021-05-23 14:06:09.517,9363,156,4,50,False,0,car,0 days 00:00:15.202000,0 days 01:36:08.754000,819.2355555555554
64,2021-05-23 14:06:09.757,9266,157,4,4,False,0,car,0 days 00:00:15.442000,0 days 01:36:08.994000,829.702222222222
65,2021-05-23 14:06:09.997,9170,151,4,0,True,0,car,0 days 00:00:15.682000,0 days 01:36:09.234000,839.7688888888887
66,2021-05-23 14:06:10.237,9779,140,3,0,True,0,car,0 days 00:00:15.922000,0 days 01:36:09.474000,849.102222222222
67,2021-05-23 14:06:10.477,9410,138,3,0,True,0,car,0 days 00:00:16.162000,0 days 01:36:09.714000,858.3022222222221
68,2021-05-23 14:06:10.717,9295,133,3,0,False,0,car,0 days 00:00:16.402000,0 days 01:36:09.954000,867.1688888888887
69,2021-05-23 14:06:10.957,8924,129,3,21,False,0,car,0 days 00:00:16.642000,0 days 01:36:10.194000,875.7688888888886
70,2021-05-23 14:06:11.197,9051,127,3,39,False,0,car,0 days 00:00:16.882000,0 days 01:36:10.434000,884.2355555555553
71,2021-05-23 14:06:11.437,9229,128,3,47,False,0,car,0 days 00:00:17.122000,0 days 01:36:10.674000,892.7688888888886
72,2021-05-23 14:06:11.677,9373,129,3,62,False,0,car,0 days 00:00:17.362000,0 days 01:36:10.914000,901.3688888888886
73,2021-05-23 14:06:11.917,9649,133,3,71,False,0,car,0 days 00:00:17.602000,0 days 01:36:11.154000,910.2355555555552
74,2021-05-23 14:06:12.156,10619,139,3,78,False,0,car,0 days 00:00:17.841000,0 days 01:36:11.393000,919.4636111111107
75,2021-05-23 14:06:12.396,10896,150,3,85,False,0,car,0 days 00:00:18.081000,0 days 01:36:11.633000,929.4636111111106
76,2021-05-23 14:06:12.636,11754,164,3,100,False,0,car,0 days 00:00:18.321000,0 days 01:36:11.873000,940.396944444444
77,2021-05-23 14:06:12.876,10721,173,3,100,False,0,car,0 days 00:00:18.561000,0 days 01:36:12.113000,951.9302777777773
78,2021-05-23 14:06:13.116,11131,181,4,100,False,0,car,0 days 00:00:18.801000,0 days 01:36:12.353000,963.996944444444
79,2021-05-23 14:06:13.356,11623,193,4,100,False,0,car,0 days 00:00:19.041000,0 days 01:36:12.593000,976.8636111111106
80,2021-05-23 14:06:13.596,10363,200,4,100,False,0,car,0 days 00:00:19.281000,0 days 01:36:12.833000,990.1969444444441
81,2021-05-23 14:06:13.836,10707,210,5,100,False,0,car,0 days 00:00:19.521000,0 days 01:36:13.073000,1004.196944444444
82,2021-05-23 14:06:14.076,10518,213,5,0,True,0,car,0 days 00:00:19.761000,0 days 01:36:13.313000,1018.3969444444441
83,2021-05-23 14:06:14.277,10035,197,5,0,True,0,car,0 days 00:00:19.962000,0 days 01:36:13.514000,1029.3961111111107
84,2021-05-23 14:06:14.517,10344,181,5,0,True,0,car,0 days 00:00:20.202000,0 days 01:36:13.754000,1041.4627777777775
85,2021-05-23 14:06:14.757,10805,155,5,0,True,0,car,0 days 00:00:20.442000,0 days 01:36:13.994000,1051.7961111111108
86,2021-05-23 14:06:14.997,9802,141,3,0,True,0,car,0 days 00:00:20.682000,0 days 01:36:14.234000,1061.196111111111
87,2021-05-23 14:06:15.237,10707,121,2,0,True,0,car,0 days 00:00:20.922000,0 days 01:36:14.474000,1069.2627777777775
88,2021-05-23 14:06:15.477,9178,109,2,0,True,0,car,0 days 00:00:21.162000,0 days 01:36:14.714000,1076.5294444444442
89,2021-05-23 14:06:15.717,8251,100,2,0,True,0,car,0 days 00:00:21.402000,0 days 01:36:14.954000,1083.1961111111107
90,2021-05-23 14:06:15.957,7448,93,2,0,True,0,car,0 days 00:00:21.642000,0 days 01:36:15.194000,1089.3961111111107
91,2021-05-23 14:06:16.197,7020,85,2,0,True,0,car,0 days 00:00:21.882000,0 days 01:36:15.434000,1095.0627777777775
92,2021-05-23 14:06:16.437,6782,83,2,0,True,0,car,0 days 00:00:22.122000,0 days 01:36:15.674000,1100.5961111111108
93,2021-05-23 14:06:16.717,6439,80,2,0,False,0,car,0 days 00:00:22.402000,0 days 01:36:15.954000,1106.818333333333
94,2021-05-23 14:06:16.957,6211,78,2,0,False,0,car,0 days 00:00:22.642000,0 days 01:36:16.194000,1112.018333333333
95,2021-05-23 14:06:17.197,6644,75,2,21,False,0,car,0 days 00:00:22.882000,0 days 01:36:16.434000,1117.018333333333
96,2021-05-23 14:06:17.437,6511,74,2,39,False,0,car,0 days 00:00:23.122000,0 days 01:36:16.674000,1121.9516666666664
97,2021-05-23 14:06:17.677,7121,78,2,48,False,0,car,0 days 00:00:23.362000,0 days 01:36:16.914000,1127.1516666666664
98,2021-05-23 14:06:17.917,7567,85,2,61,False,0,car,0 days 00:00:23.602000,0 days 01:36:17.154000,1132.8183333333332
99,2021-05-23 14:06:18.157,8508,96,2,67,False,0,car,0 days 00:00:23.842000,0 days 01:36:17.394000,1139.2183333333332
100,2021-05-23 14:06:18.397,9331,105,2,72,False,0,car,0 days 00:00:24.082000,0 days 01:36:17.634000,1146.2183333333332
101,2021-05-23 14:06:18.676,10605,114,2,83,False,0,car,0 days 00:00:24.361000,0 days 01:36:17.913000,1155.0533333333333
102,2021-05-23 14:06:18.916,9205,128,2,89,False,0,car,0 days 00:00:24.601000,0 days 01:36:18.153000,1163.5866666666666
103,2021-05-23 14:06:19.156,9760,143,3,17,True,0,car,0 days 00:00:24.841000,0 days 01:36:18.393000,1173.12
104,2021-05-23 14:06:19.396,9415,135,3,0,True,0,car,0 days 00:00:25.081000,0 days 01:36:18.633000,1182.12
105,2021-05-23 14:06:19.636,9634,118,3,0,True,0,car,0 days 00:00:25.321000,0 days 01:36:18.873000,1189.9866666666665
106,2021-05-23 14:06:19.876,8842,103,2,0,True,0,car,0 days 00:00:25.561000,0 days 01:36:19.113000,1196.853333333333
107,2021-05-23 14:06:20.116,7726,92,2,0,True,0,car,0 days 00:00:25.801000,0 days 01:36:19.353000,1202.9866666666665
108,2021-05-23 14:06:20.356,8566,84,2,0,True,0,car,0 days 00:00:26.041000,0 days 01:36:19.593000,1208.5866666666664
109,2021-05-23 14:06:20.596,7860,76,1,0,True,0,car,0 days 00:00:26.281000,0 days 01:36:19.833000,1213.653333333333
110,2021-05-23 14:06:20.797,7312,68,1,0,True,0,car,0 days 00:00:26.482000,0 days 01:36:20.034000,1217.4499999999996
111,2021-05-23 14:06:21.037,6591,61,1,0,True,0,car,0 days 00:00:26.722000,0 days 01:36:20.274000,1221.5166666666662
112,2021-05-23 14:06:21.277,6193,58,1,0,False,0,car,0 days 00:00:26.962000,0 days 01:36:20.514000,1225.383333333333
113,2021-05-23 14:06:21.517,5861,56,1,0,False,0,car,0 days 00:00:27.202000,0 days 01:36:20.754000,1229.1166666666663
114,2021-05-23 14:06:21.757,5435,53,1,0,False,0,car,0 days 00:00:27.442000,0 days 01:36:20.994000,1232.6499999999996
115,2021-05-23 14:06:21.997,5086,50,1,0,False,0,car,0 days 00:00:27.682000,0 days 01:36:21.234000,1235.983333333333
116,2021-05-23 14:06:22.237,5383,49,1,9,False,0,car,0 days 00:00:27.922000,0 days 01:36:21.474000,1239.2499999999995
117,2021-05-23 14:06:22.477,5857,48,1,10,False,0,car,0 days 00:00:28.162000,0 days 01:36:21.714000,1242.4499999999996
118,2021-05-23 14:06:22.717,6026,50,1,19,False,0,car,0 days 00:00:28.402000,0 days 01:36:21.954000,1245.7833333333328
119,2021-05-23 14:06:22.957,6610,55,1,32,False,0,car,0 days 00:00:28.642000,0 days 01:36:22.194000,1249.4499999999996
120,2021-05-23 14:06:23.197,7606,60,1,42,False,0,car,0 days 00:00:28.882000,0 days 01:36:22.434000,1253.4499999999996
121,2021-05-23 14:06:23.437,8051,70,1,50,False,0,car,0 days 00:00:29.122000,0 days 01:36:22.674000,1258.1166666666663
122,2021-05-23 14:06:23.677,9193,74,1,54,False,0,car,0 days 00:00:29.362000,0 days 01:36:22.914000,1263.0499999999997
123,2021-05-23 14:06:23.917,10063,85,1,59,False,0,car,0 days 00:00:29.602000,0 days 01:36:23.154000,1268.7166666666665
124,2021-05-23 14:06:24.157,9134,96,2,67,False,0,car,0 days 00:00:29.842000,0 days 01:36:23.394000,1275.1166666666666
125,2021-05-23 14:06:24.397,8331,100,2,0,True,0,car,0 days 00:00:30.082000,0 days 01:36:23.634000,1281.783333333333
126,2021-05-23 14:06:24.637,8015,94,2,0,True,0,car,0 days 00:00:30.322000,0 days 01:36:23.874000,1288.0499999999997
127,2021-05-23 14:06:24.877,7421,90,2,0,True,0,car,0 days 00:00:30.562000,0 days 01:36:24.114000,1294.0499999999997
128,2021-05-23 14:06:25.117,7103,86,2,0,True,0,car,0 days 00:00:30.802000,0 days 01:36:24.354000,1299.783333333333
129,2021-05-23 14:06:25.357,6894,84,2,0,False,0,car,0 days 00:00:31.042000,0 days 01:36:24.594000,1305.383333333333
130,2021-05-23 14:06:25.596,6899,81,2,9,False,0,car,0 days 00:00:31.281000,0 days 01:36:24.833000,1310.760833333333
131,2021-05-23 14:06:25.836,7040,78,2,29,False,0,car,0 days 00:00:31.521000,0 days 01:36:25.073000,1315.960833333333
132,2021-05-23 14:06:26.076,7280,81,2,38,False,0,car,0 days 00:00:31.761000,0 days 01:36:25.313000,1321.3608333333332
133,2021-05-23 14:06:26.316,7418,85,2,49,False,0,car,0 days 00:00:32.001000,0 days 01:36:25.553000,1327.0275
134,2021-05-23 14:06:26.556,8117,94,2,61,False,0,car,0 days 00:00:32.241000,0 days 01:36:25.793000,1333.2941666666663
135,2021-05-23 14:06:26.796,9260,102,2,74,False,0,car,0 days 00:00:32.481000,0 days 01:36:26.033000,1340.0941666666663
136,2021-05-23 14:06:27.036,9937,117,2,87,False,0,car,0 days 00:00:32.721000,0 days 01:36:26.273000,1347.8941666666663
137,2021-05-23 14:06:27.276,9775,119,2,0,True,0,car,0 days 00:00:32.961000,0 days 01:36:26.513000,1355.8274999999994
138,2021-05-23 14:06:27.477,9278,111,2,0,True,0,car,0 days 00:00:33.162000,0 days 01:36:26.714000,1362.0249999999994
139,2021-05-23 14:06:27.717,8687,105,2,0,True,0,car,0 days 00:00:33.402000,0 days 01:36:26.954000,1369.0249999999994
140,2021-05-23 14:06:27.957,8260,98,2,0,True,0,car,0 days 00:00:33.642000,0 days 01:36:27.194000,1375.5583333333327
141,2021-05-23 14:06:28.197,7722,94,2,0,True,0,car,0 days 00:00:33.882000,0 days 01:36:27.434000,1381.8249999999994
142,2021-05-23 14:06:28.437,7431,89,2,0,False,0,car,0 days 00:00:34.122000,0 days 01:36:27.674000,1387.7583333333325
143,2021-05-23 14:06:28.677,7160,87,2,0,False,0,car,0 days 00:00:34.362000,0 days 01:36:27.914000,1393.5583333333325
144,2021-05-23 14:06:28.917,7060,85,2,3,False,0,car,0 days 00:00:34.602000,0 days 01:36:28.154000,1399.2249999999992
145,2021-05-23 14:06:29.157,7486,83,2,39,False,0,car,0 days 00:00:34.842000,0 days 01:36:28.394000,1404.7583333333325
146,2021-05-23 14:06:29.397,7640,86,2,49,False,0,car,0 days 00:00:35.082000,0 days 01:36:28.634000,1410.4916666666659
147,2021-05-23 14:06:29.637,8267,93,2,60,False,0,car,0 days 00:00:35.322000,0 days 01:36:28.874000,1416.691666666666
148,2021-05-23 14:06:29.877,9022,99,2,69,False,0,car,0 days 00:00:35.562000,0 days 01:36:29.114000,1423.291666666666
149,2021-05-23 14:06:30.117,9638,106,2,71,False,0,car,0 days 00:00:35.802000,0 days 01:36:29.354000,1430.3583333333327
150,2021-05-23 14:06:30.357,10556,118,2,80,False,0,car,0 days 00:00:36.042000,0 days 01:36:29.594000,1438.2249999999995
151,2021-05-23 14:06:30.597,11356,127,2,86,False,0,car,0 days 00:00:36.282000,0 days 01:36:29.834000,1446.6916666666662
152,2021-05-23 14:06:30.837,10096,140,3,95,False,0,car,0 days 00:00:36.522000,0 days 01:36:30.074000,1456.0249999999996
153,2021-05-23 14:06:31.077,11044,151,3,100,False,0,car,0 days 00:00:36.762000,0 days 01:36:30.314000,1466.091666666666
154,2021-05-23 14:06:31.317,11689,162,3,100,False,0,car,0 days 00:00:37.002000,0 days 01:36:30.554000,1476.8916666666662
155,2021-05-23 14:06:31.557,11997,171,3,100,False,0,car,0 days 00:00:37.242000,0 days 01:36:30.794000,1488.2916666666663
156,2021-05-23 14:06:31.797,10991,183,4,100,False,0,car,0 days 00:00:37.482000,0 days 01:36:31.034000,1500.491666666666
157,2021-05-23 14:06:32.037,11635,195,4,100,False,0,car,0 days 00:00:37.722000,0 days 01:36:31.274000,1513.491666666666
158,2021-05-23 14:06:32.276,12118,201,4,100,False,0,car,0 days 00:00:37.961000,0 days 01:36:31.513000,1526.835833333333
159,2021-05-23 14:06:32.516,10718,207,4,100,False,0,car,0 days 00:00:38.201000,0 days 01:36:31.753000,1540.6358333333328
160,2021-05-23 14:06:32.756,11056,216,5,100,False,0,car,0 days 00:00:38.441000,0 days 01:36:31.993000,1555.035833333333
161,2021-05-23 14:06:32.996,11363,221,5,100,False,0,car,0 days 00:00:38.681000,0 days 01:36:32.233000,1569.7691666666663
162,2021-05-23 14:06:33.236,11731,229,5,100,False,0,car,0 days 00:00:38.921000,0 days 01:36:32.473000,1585.0358333333327
163,2021-05-23 14:06:33.476,11565,229,5,100,False,0,car,0 days 00:00:39.161000,0 days 01:36:32.713000,1600.3024999999996
164,2021-05-23 14:06:33.756,10600,239,6,100,False,0,car,0 days 00:00:39.441000,0 days 01:36:32.993000,1618.8913888888885
165,2021-05-23 14:06:33.957,10714,243,6,100,False,0,car,0 days 00:00:39.642000,0 days 01:36:33.194000,1632.4588888888886
166,2021-05-23 14:06:34.197,10792,247,6,100,False,0,car,0 days 00:00:39.882000,0 days 01:36:33.434000,1648.9255555555553
167,2021-05-23 14:06:34.437,10947,252,6,100,False,0,car,0 days 00:00:40.122000,0 days 01:36:33.674000,1665.725555555555
168,2021-05-23 14:06:34.677,11211,255,6,100,False,0,car,0 days 00:00:40.362000,0 days 01:36:33.914000,1682.7255555555553
169,2021-05-23 14:06:34.917,11310,257,6,100,False,0,car,0 days 00:00:40.602000,0 days 01:36:34.154000,1699.8588888888887
170,2021-05-23 14:06:35.157,11520,258,6,100,False,0,car,0 days 00:00:40.842000,0 days 01:36:34.394000,1717.0588888888888
171,2021-05-23 14:06:35.397,11524,261,6,100,False,0,car,0 days 00:00:41.082000,0 days 01:36:34.634000,1734.4588888888884
172,2021-05-23 14:06:35.677,11584,264,6,100,False,0,car,0 days 00:00:41.362000,0 days 01:36:34.914000,1754.9922222222217
173,2021-05-23 14:06:35.917,11705,265,6,100,False,0,car,0 days 00:00:41.602000,0 days 01:36:35.154000,1772.6588888888884
174,2021-05-23 14:06:36.157,10431,265,7,100,False,0,car,0 days 00:00:41.842000,0 days 01:36:35.394000,1790.3255555555552
